Id	FNum	FFNum	FFNumAVG	FFNLTFN	FFNGTFN	FFNEFN
1	25	1928	77.12	8	16	1
28	2	31	15.5	0	2	0
32	5	92	18.4	0	5	0
38	11	479	43.54545454545455	2	9	0
50	4	69	17.25	0	4	0
54	1	36	36.0	0	1	0
58	5	59	11.8	2	3	0
64	8	455	56.875	0	8	0
73	12	1277	106.41666666666667	1	11	0
59	1	5	5.0	0	1	0
86	66	5639	85.43939393939394	29	36	1
161	45	1781	39.577777777777776	37	8	0
208	10	427	42.7	1	9	0
219	12	458	38.166666666666664	1	10	1
232	45	2926	65.02222222222223	26	18	1
282	9	286	31.77777777777778	2	7	0
162	12	625	52.083333333333336	0	11	1
303	47	1807	38.4468085106383	37	9	1
356	15	723	48.2	4	10	1
373	44	3977	90.38636363636364	11	33	0
87	45	4636	103.02222222222223	8	35	2
444	8	1249	156.125	0	7	1
453	21	2265	107.85714285714286	13	8	0
475	29	2297	79.20689655172414	1	28	0
88	47	3587	76.31914893617021	12	35	0
549	5	1049	209.8	0	5	0
555	3	185	61.666666666666664	1	2	0
60	12	273	22.75	4	8	0
89	98	10102	103.08163265306122	53	45	0
570	17	1238	72.82352941176471	1	16	0
304	8	238	29.75	2	6	0
631	27	1432	53.03703703703704	15	12	0
657	19	725	38.1578947368421	2	17	0
61	33	1039	31.484848484848484	24	7	2
711	20	1093	54.65	2	17	1
732	4	76	19.0	1	3	0
658	24	1086	45.25	9	15	0
748	9	204	22.666666666666668	2	7	0
758	14	402	28.714285714285715	5	9	0
571	74	6732	90.97297297297297	34	39	1
812	21	1411	67.19047619047619	2	19	0
559	20	586	29.3	9	11	0
850	6	417	69.5	0	6	0
855	2	23	11.5	0	2	0
858	91	4702	51.67032967032967	80	11	0
209	11	316	28.727272727272727	3	8	0
958	13	786	60.46153846153846	0	13	0
968	23	565	24.565217391304348	15	7	1
990	7	383	54.714285714285715	3	4	0
998	11	259	23.545454545454547	2	7	2
1012	17	765	45.0	4	13	0
1035	17	655	38.529411764705884	2	14	1
1051	4	203	50.75	0	4	0
969	15	383	25.533333333333335	6	8	1
1063	6	144	24.0	0	6	0
1070	9	282	31.333333333333332	2	7	0
749	37	2599	70.24324324324324	16	21	0
1117	1	5	5.0	0	1	0
1119	6	253	42.166666666666664	0	6	0
659	27	957	35.44444444444444	12	15	0
446	21	1862	88.66666666666667	3	18	0
1146	29	1189	41.0	12	15	2
1169	26	1590	61.15384615384615	12	14	0
163	23	1101	47.869565217391305	9	14	0
509	55	4313	78.41818181818182	21	34	0
1170	16	754	47.125	1	14	1
1171	4	94	23.5	0	4	0
33	20	471	23.55	9	11	0
90	56	6096	108.85714285714286	11	45	0
1248	11	211	19.181818181818183	5	6	0
1259	10	701	70.1	0	10	0
1270	1	24	24.0	0	1	0
1272	8	451	56.375	0	8	0
1277	2	67	33.5	0	2	0
1280	8	188	23.5	0	8	0
1284	63	3448	54.73015873015873	42	20	1
1346	2	9	4.5	0	1	1
1036	17	431	25.352941176470587	2	14	1
1356	23	1561	67.8695652173913	1	22	0
210	30	1210	40.333333333333336	11	19	0
510	148	12260	82.83783783783784	131	17	0
1404	69	5524	80.05797101449275	38	31	0
1553	22	1456	66.18181818181819	3	19	0
1576	8	654	81.75	1	7	0
1584	7	570	81.42857142857143	0	6	1
1405	83	6331	76.27710843373494	56	27	0
813	34	1152	33.88235294117647	22	11	1
1659	26	1164	44.76923076923077	9	17	0
1685	10	191	19.1	4	6	0
1698	8	337	42.125	3	5	0
1406	29	1890	65.17241379310344	7	22	0
1590	58	4807	82.87931034482759	28	30	0
1747	1	4	4.0	0	1	0
1407	49	2804	57.224489795918366	27	21	1
1785	23	870	37.82608695652174	9	14	0
1808	25	1060	42.4	8	17	0
1408	81	4382	54.098765432098766	63	17	1
1888	9	202	22.444444444444443	5	4	0
1749	72	8827	122.59722222222223	23	49	0
164	30	1296	43.2	16	13	1
1964	26	1473	56.65384615384615	3	22	1
511	40	4015	100.375	10	29	1
1829	26	888	34.15384615384615	13	12	1
2007	6	837	139.5	0	5	1
2014	49	2768	56.48979591836735	26	22	1
2	23	1456	63.30434782608695	9	14	0
454	18	1178	65.44444444444444	8	10	0
1409	34	2104	61.88235294117647	14	20	0
2092	2	10	5.0	1	1	0
1999	12	548	45.666666666666664	2	10	0
2108	21	1214	57.80952380952381	4	16	1
2117	45	2600	57.77777777777778	36	8	1
2118	4	135	33.75	1	3	0
2165	10	604	60.4	0	10	0
2119	5	226	45.2	0	5	0
2176	3	81	27.0	0	3	0
1222	17	1224	72.0	1	16	0
1686	52	2465	47.40384615384615	34	17	1
1636	15	755	50.333333333333336	3	11	1
2224	9	168	18.666666666666668	1	7	1
2232	4	112	28.0	0	4	0
2237	13	996	76.61538461538461	1	12	0
2249	1	32	32.0	0	1	0
2000	3	35	11.666666666666666	0	3	0
2120	31	1809	58.354838709677416	15	15	1
2269	23	1342	58.34782608695652	2	21	0
1687	9	258	28.666666666666668	1	8	0
738	113	12063	106.75221238938053	83	29	1
2374	9	240	26.666666666666668	1	8	0
2071	17	875	51.470588235294116	1	16	0
2390	9	438	48.666666666666664	2	7	0
2391	1	9	9.0	0	1	0
165	67	3976	59.343283582089555	49	17	1
2434	4	345	86.25	1	3	0
166	11	631	57.36363636363637	1	10	0
1234	48	3488	72.66666666666667	34	14	0
1013	9	516	57.333333333333336	0	9	0
512	37	2622	70.86486486486487	4	33	0
2475	14	1261	90.07142857142857	2	12	0
2121	18	795	44.166666666666664	4	12	2
2485	7	451	64.42857142857143	1	5	1
1125	44	2159	49.06818181818182	26	17	1
633	22	559	25.40909090909091	12	10	0
2521	21	856	40.76190476190476	6	15	0
2541	3	37	12.333333333333334	0	2	1
1637	25	978	39.12	6	19	0
2397	24	1986	82.75	5	18	1
2564	5	192	38.4	0	5	0
2398	28	1752	62.57142857142857	5	22	1
233	18	763	42.388888888888886	5	13	0
2594	4	59	14.75	1	3	0
2599	2	17	8.5	0	2	0
2601	2	24	12.0	1	1	0
1638	16	1267	79.1875	2	14	0
2611	19	1395	73.42105263157895	3	16	0
234	21	792	37.714285714285715	6	15	0
235	17	1963	115.47058823529412	0	16	1
1172	8	69	8.625	6	2	0
2629	7	172	24.571428571428573	1	5	1
1199	13	479	36.84615384615385	4	9	0
2600	4	139	34.75	1	3	0
2645	12	166	13.833333333333334	8	3	1
236	13	482	37.07692307692308	2	11	0
2664	15	1138	75.86666666666666	0	15	0
62	2	22	11.0	0	2	0
2684	4	28	7.0	0	4	0
74	46	4021	87.41304347826087	15	29	2
2251	10	262	26.2	1	9	0
2392	14	463	33.07142857142857	5	9	0
2731	6	255	42.5	0	6	0
2722	16	918	57.375	3	13	0
237	78	4966	63.666666666666664	59	17	2
2122	26	1065	40.96153846153846	12	14	0
