Id	FNum	FFNum	FFNumAVG	FFNLTFN	FFNGTFN	FFNEFN
1	26	2103	80.88461538461539	6	17	2
28	3	32	10.666666666666666	0	2	0
32	5	100	20.0	0	5	0
38	11	509	46.27272727272727	2	9	0
50	5	77	15.4	0	4	0
54	3	38	12.666666666666666	0	1	0
58	5	67	13.4	2	3	0
64	8	479	59.875	0	8	0
73	12	1334	111.16666666666667	1	11	0
59	1	5	5.0	0	1	0
86	74	6202	83.8108108108108	30	36	0
161	50	1938	38.76	37	8	0
208	10	458	45.8	0	9	1
219	12	484	40.333333333333336	1	11	0
232	50	3171	63.42	27	17	1
282	9	311	34.55555555555556	2	7	0
162	12	666	55.5	0	12	0
303	52	1930	37.11538461538461	38	9	0
356	16	760	47.5	4	10	1
373	53	4332	81.73584905660377	14	28	2
87	46	5130	111.52173913043478	7	38	0
444	9	1347	149.66666666666666	1	7	0
453	22	2440	110.9090909090909	13	8	0
475	33	2482	75.21212121212122	1	27	1
88	48	3949	82.27083333333333	12	35	0
549	5	1133	226.6	0	5	0
555	3	197	65.66666666666667	1	2	0
60	13	294	22.615384615384617	4	8	0
89	107	11118	103.90654205607477	52	46	0
570	20	1377	68.85	2	15	0
304	10	265	26.5	2	6	0
631	28	1561	55.75	13	13	1
657	24	843	35.125	2	16	1
61	37	1141	30.83783783783784	26	7	0
711	23	1194	51.91304347826087	3	17	0
732	5	78	15.6	1	2	1
658	29	1227	42.310344827586206	8	16	0
748	9	217	24.11111111111111	2	7	0
758	15	428	28.533333333333335	5	8	1
571	83	7448	89.73493975903614	35	39	0
812	26	1501	57.73076923076923	3	18	0
559	22	621	28.227272727272727	9	11	0
850	6	451	75.16666666666667	0	6	0
855	2	24	12.0	0	2	0
858	97	4959	51.123711340206185	80	11	0
209	14	353	25.214285714285715	3	8	0
958	14	862	61.57142857142857	0	13	0
968	24	601	25.041666666666668	15	8	0
990	8	400	50.0	3	4	0
998	15	288	19.2	4	6	1
1012	24	855	35.625	4	13	0
1035	17	716	42.11764705882353	1	15	1
1051	4	228	57.0	0	4	0
969	17	422	24.823529411764707	7	8	0
1063	6	156	26.0	0	6	0
1070	10	301	30.1	2	7	0
749	39	2808	72.0	16	21	0
1117	1	5	5.0	0	1	0
1119	6	269	44.833333333333336	0	6	0
659	32	1098	34.3125	12	15	0
446	23	1982	86.17391304347827	3	17	1
1146	34	1318	38.76470588235294	17	12	0
1169	27	1757	65.07407407407408	12	14	0
163	25	1197	47.88	9	14	0
509	60	4772	79.53333333333333	19	35	1
1170	19	817	43.0	2	14	0
1171	5	99	19.8	0	4	0
33	21	521	24.80952380952381	9	11	0
90	62	6731	108.56451612903226	11	44	1
1248	11	225	20.454545454545453	4	6	1
1259	14	768	54.857142857142854	0	10	0
1270	1	25	25.0	0	1	0
1272	8	490	61.25	0	8	0
1277	2	72	36.0	0	2	0
1280	8	201	25.125	0	8	0
1284	68	3787	55.69117647058823	42	21	0
1346	2	10	5.0	0	1	1
1036	18	482	26.77777777777778	2	13	2
1356	23	1662	72.26086956521739	1	22	0
210	37	1323	35.75675675675676	12	16	2
510	158	13130	83.10126582278481	130	17	1
1404	76	5889	77.48684210526316	39	30	0
1553	25	1583	63.32	3	19	0
1576	8	711	88.875	1	7	0
1584	7	601	85.85714285714286	0	6	1
1405	85	6764	79.5764705882353	53	29	1
813	37	1245	33.648648648648646	21	10	3
1659	26	1236	47.53846153846154	7	18	1
1685	13	216	16.615384615384617	3	6	1
1698	9	358	39.77777777777778	3	5	0
1406	31	2036	65.6774193548387	7	22	0
1590	64	5195	81.171875	28	30	0
1747	2	5	2.5	0	1	0
1407	57	3076	53.96491228070175	28	21	0
1785	24	938	39.083333333333336	9	14	0
1808	27	1139	42.18518518518518	8	16	1
1408	84	4667	55.55952380952381	64	17	0
1888	11	220	20.0	5	4	0
1749	80	9659	120.7375	25	47	0
164	31	1400	45.16129032258065	15	15	0
1964	30	1609	53.63333333333333	3	22	1
511	44	4399	99.97727272727273	11	29	0
1829	29	955	32.93103448275862	14	12	0
2007	8	903	112.875	0	4	2
2014	52	2997	57.63461538461539	25	24	0
2	26	1585	60.96153846153846	8	14	1
454	20	1272	63.6	8	10	0
1409	37	2292	61.945945945945944	14	20	0
2092	2	12	6.0	0	1	1
1999	15	584	38.93333333333333	3	9	0
2108	21	1295	61.666666666666664	4	16	1
2117	52	2809	54.01923076923077	37	8	0
2118	7	150	21.428571428571427	1	3	0
2165	11	645	58.63636363636363	0	10	0
2119	5	253	50.6	0	5	0
2176	3	87	29.0	0	3	0
1222	20	1311	65.55	1	16	0
1686	57	2657	46.6140350877193	37	15	0
1636	15	810	54.0	3	12	0
2224	11	186	16.90909090909091	2	7	0
2232	4	121	30.25	0	4	0
2237	13	1072	82.46153846153847	1	12	0
2249	1	38	38.0	0	1	0
2000	4	43	10.75	0	3	0
2120	34	1977	58.14705882352941	16	15	0
2269	27	1469	54.407407407407405	2	20	1
1687	13	285	21.923076923076923	2	6	1
738	121	13136	108.56198347107438	83	30	0
2374	10	259	25.9	1	8	0
2071	20	948	47.4	2	14	1
2390	10	481	48.1	2	7	0
2391	1	10	10.0	0	1	0
165	74	4287	57.932432432432435	50	17	0
2434	4	374	93.5	1	3	0
166	11	670	60.90909090909091	1	10	0
1234	53	3784	71.39622641509433	34	14	0
1013	12	585	48.75	0	9	0
512	39	2903	74.43589743589743	4	33	0
2475	18	1384	76.88888888888889	2	12	0
2121	20	862	43.1	5	12	1
2485	7	479	68.42857142857143	0	5	2
1125	50	2365	47.3	27	17	0
633	24	624	26.0	11	11	0
2521	21	895	42.61904761904762	6	15	0
2541	3	40	13.333333333333334	0	2	1
1637	29	1064	36.689655172413794	6	19	0
2397	27	2144	79.4074074074074	7	17	0
2564	5	205	41.0	0	5	0
2398	30	1886	62.86666666666667	6	21	1
233	19	817	43.0	5	13	0
2594	6	61	10.166666666666666	1	3	0
2599	3	21	7.0	0	2	0
2601	2	26	13.0	1	1	0
1638	19	1349	71.0	3	13	0
2611	20	1511	75.55	3	16	0
234	25	870	34.8	7	14	0
235	20	2107	105.35	1	16	0
1172	8	73	9.125	6	2	0
2629	7	187	26.714285714285715	1	5	1
1199	16	525	32.8125	5	7	1
2600	5	150	30.0	1	3	0
2645	14	176	12.571428571428571	8	3	1
236	13	526	40.46153846153846	2	11	0
2664	19	1264	66.52631578947368	0	15	0
62	2	24	12.0	0	2	0
2684	4	30	7.5	0	4	0
74	46	4301	93.5	14	32	0
2251	10	289	28.9	1	9	0
2392	16	499	31.1875	5	9	0
2731	8	276	34.5	0	6	0
2722	17	962	56.588235294117645	3	13	0
237	83	5391	64.95180722891567	60	18	0
2122	28	1164	41.57142857142857	12	14	0
2754	12	323	26.916666666666668	4	7	0
2821	6	159	26.5	0	6	0
2825	4	57	14.25	0	4	0
39	42	1660	39.523809523809526	27	10	0
2613	56	4371	78.05357142857143	25	29	0
2881	6	201	33.5	0	5	0
2888	1	10	10.0	0	1	0
1223	33	2060	62.42424242424242	6	24	0
1224	27	1223	45.2962962962963	7	16	2
2636	15	302	20.133333333333333	8	6	1
476	76	5179	68.14473684210526	45	26	0
2905	15	584	38.93333333333333	2	11	2
2899	8	152	19.0	3	4	0
4	10	253	25.3	3	6	0
2822	37	2086	56.37837837837838	16	18	1
477	126	7957	63.15079365079365	107	9	0
3056	3	83	27.666666666666668	0	3	0
1410	28	2171	77.53571428571429	2	19	0
2826	9	118	13.11111111111111	3	5	1
1173	71	3350	47.183098591549296	43	15	0
2646	4	76	19.0	0	4	0
2988	45	4079	90.64444444444445	7	32	0
1689	29	1798	62.0	17	11	0
3115	19	586	30.842105263157894	1	17	0
3065	12	117	9.75	6	4	0
3120	2	173	86.5	0	2	0
3128	25	1333	53.32	7	15	0
3151	37	1675	45.270270270270274	13	18	1
2270	29	1860	64.13793103448276	1	23	0
