Id	FNum	FFNum	FFNumAVG	FFNLTFN	FFNGTFN	FFNEFN
0	2	7	3.5	0	1	1
2	2	3	1.5	1	0	1
3	1	2	2.0	0	1	0
4	1	8	8.0	0	1	0
5	1	1	1.0	0	0	1
7	3	6	2.0	2	0	1
8	2	7	3.5	0	2	0
9	1	1	1.0	0	0	1
11	5	11	2.2	5	0	0
13	4	8	2.0	4	0	0
14	1	6	6.0	0	1	0
15	5	18	3.6	3	1	1
17	2	14	7.0	0	2	0
19	3	6	2.0	2	1	0
21	1	1	1.0	0	0	1
26	3	44	14.666666666666666	0	2	1
27	2	10	5.0	0	1	1
28	1	3	3.0	0	1	0
31	3	11	3.6666666666666665	2	1	0
33	1	3	3.0	0	1	0
34	3	8	2.6666666666666665	1	1	1
35	3	24	8.0	0	3	0
38	1	2	2.0	0	1	0
40	1	6	6.0	0	1	0
41	1	4	4.0	0	1	0
42	1	1	1.0	0	0	1
43	1	2	2.0	0	1	0
46	3	75	25.0	0	2	1
47	1	4	4.0	0	1	0
48	2	79	39.5	0	2	0
50	10	59	5.9	8	1	1
51	3	75	25.0	0	2	1
53	2	25	12.5	0	2	0
54	11	103	9.363636363636363	10	1	0
57	2	9	4.5	1	1	0
59	14	73	5.214285714285714	14	0	0
60	4	15	3.75	1	1	2
64	8	78	9.75	2	6	0
66	2	5	2.5	0	1	1
68	1	3	3.0	0	1	0
69	2	4	2.0	0	0	2
70	4	19	4.75	2	2	0
71	2	4	2.0	0	0	2
73	4	17	4.25	1	2	1
74	2	12	6.0	0	1	1
75	2	11	5.5	0	2	0
76	4	14	3.5	1	0	3
78	1	6	6.0	0	1	0
79	3	9	3.0	2	1	0
81	3	17	5.666666666666667	0	2	1
82	8	79	9.875	4	4	0
83	8	22	2.75	8	0	0
89	1	1	1.0	0	0	1
90	1	6	6.0	0	1	0
92	4	32	8.0	0	4	0
94	4	14	3.5	2	1	1
95	1	4	4.0	0	1	0
98	1	6	6.0	0	1	0
99	3	24	8.0	1	2	0
100	5	37	7.4	1	3	1
102	3	9	3.0	1	1	1
104	1	1	1.0	0	0	1
105	7	33	4.714285714285714	6	1	0
111	1	1	1.0	0	0	1
112	1	15	15.0	0	1	0
113	1	1	1.0	0	0	1
116	1	2	2.0	0	1	0
120	1	2	2.0	0	1	0
121	4	37	9.25	0	4	0
122	3	18	6.0	1	2	0
124	1	1	1.0	0	0	1
125	2	4	2.0	0	0	2
126	1	1	1.0	0	0	1
129	10	62	6.2	8	1	1
130	1	1	1.0	0	0	1
131	7	95	13.571428571428571	4	2	1
133	61	227	3.721311475409836	61	0	0
134	6	34	5.666666666666667	5	1	0
135	1	2	2.0	0	1	0
136	2	2	1.0	2	0	0
138	1	5	5.0	0	1	0
139	8	48	6.0	6	1	1
140	3	19	6.333333333333333	1	2	0
142	9	95	10.555555555555555	6	2	1
147	1	2	2.0	0	1	0
149	3	74	24.666666666666668	0	3	0
150	5	32	6.4	2	3	0
151	2	78	39.0	0	2	0
155	2	4	2.0	0	0	2
159	2	9	4.5	0	2	0
160	2	7	3.5	0	2	0
162	6	76	12.666666666666666	0	6	0
163	1	2	2.0	0	1	0
164	6	27	4.5	5	1	0
166	2	17	8.5	0	2	0
168	1	3	3.0	0	1	0
169	2	8	4.0	0	1	1
171	3	11	3.6666666666666665	1	2	0
174	1	5	5.0	0	1	0
175	3	17	5.666666666666667	0	2	1
177	2	5	2.5	1	1	0
178	3	11	3.6666666666666665	2	1	0
180	12	104	8.666666666666666	8	3	1
181	3	22	7.333333333333333	0	3	0
182	3	23	7.666666666666667	1	2	0
183	3	17	5.666666666666667	0	2	1
186	3	21	7.0	0	3	0
188	1	3	3.0	0	1	0
189	1	2	2.0	0	1	0
191	1	2	2.0	0	1	0
192	2	7	3.5	0	2	0
193	2	9	4.5	0	2	0
194	1	1	1.0	0	0	1
195	1	2	2.0	0	1	0
196	5	31	6.2	2	2	1
198	2	17	8.5	0	2	0
200	7	23	3.2857142857142856	6	1	0
201	3	12	4.0	0	1	2
202	7	34	4.857142857142857	5	1	1
210	4	12	3.0	3	1	0
211	2	4	2.0	0	0	2
213	4	22	5.5	1	2	1
