Id	FNum	FFNum	FFNumAVG	FFNLTFN	FFNGTFN	FFNEFN
0	5	21	4.2	3	2	0
1	1	11	11.0	0	1	0
2	3	6	2.0	2	1	0
3	8	33	4.125	7	1	0
4	1	11	11.0	0	1	0
5	1	1	1.0	0	0	1
6	1	7	7.0	0	1	0
7	4	15	3.75	1	1	2
8	4	14	3.5	1	1	1
9	2	3	1.5	1	0	1
10	2	6	3.0	0	1	1
11	6	22	3.6666666666666665	5	0	1
13	5	27	5.4	1	2	2
14	1	11	11.0	0	1	0
15	7	45	6.428571428571429	4	3	0
16	3	4	1.3333333333333333	0	1	0
17	5	26	5.2	2	2	0
19	3	12	4.0	0	2	1
20	2	3	1.5	1	0	1
21	1	1	1.0	0	0	1
22	1	0	0.0	0	0	0
23	1	1	1.0	0	0	1
24	2	0	0.0	0	0	0
26	6	74	12.333333333333334	1	5	0
27	7	30	4.285714285714286	3	2	1
28	3	12	4.0	1	1	1
29	1	2	2.0	0	1	0
31	5	24	4.8	3	2	0
33	1	5	5.0	0	1	0
34	7	33	4.714285714285714	5	1	1
35	3	27	9.0	0	3	0
36	4	9	2.25	4	0	0
37	3	4	1.3333333333333333	2	0	0
38	1	3	3.0	0	1	0
39	1	2	2.0	0	1	0
40	2	8	4.0	1	1	0
41	2	4	2.0	0	1	0
42	4	6	1.5	4	0	0
43	1	3	3.0	0	1	0
44	4	9	2.25	3	1	0
46	6	100	16.666666666666668	2	4	0
47	4	13	3.25	1	2	0
48	2	85	42.5	0	2	0
50	13	96	7.384615384615385	13	0	0
51	3	82	27.333333333333332	0	3	0
52	1	0	0.0	0	0	0
53	2	34	17.0	0	2	0
54	11	135	12.272727272727273	9	2	0
55	1	7	7.0	0	1	0
56	1	2	2.0	0	1	0
57	7	36	5.142857142857143	4	3	0
59	16	104	6.5	16	0	0
60	7	38	5.428571428571429	4	2	1
62	2	8	4.0	0	1	1
63	2	2	1.0	2	0	0
64	9	103	11.444444444444445	2	5	2
65	4	15	3.75	2	2	0
66	4	12	3.0	3	1	0
68	1	5	5.0	0	1	0
69	3	20	6.666666666666667	1	1	1
70	6	36	6.0	2	3	1
71	2	4	2.0	0	0	2
72	2	1	0.5	1	0	0
73	4	23	5.75	0	3	1
74	2	15	7.5	0	1	1
75	2	11	5.5	0	2	0
76	7	23	3.2857142857142856	5	0	1
77	1	11	11.0	0	1	0
78	11	100	9.090909090909092	6	4	0
79	3	10	3.3333333333333335	2	1	0
80	3	20	6.666666666666667	1	2	0
81	4	22	5.5	1	2	1
82	10	139	13.9	2	7	0
83	12	49	4.083333333333333	10	0	0
84	1	17	17.0	0	1	0
85	2	2	1.0	2	0	0
87	2	1	0.5	1	0	0
88	2	3	1.5	1	0	1
89	1	1	1.0	0	0	1
90	6	46	7.666666666666667	0	4	1
92	4	41	10.25	0	4	0
94	13	106	8.153846153846153	10	1	2
95	1	4	4.0	0	1	0
96	1	3	3.0	0	1	0
97	5	16	3.2	2	1	0
98	2	8	4.0	0	1	1
99	15	137	9.133333333333333	11	3	0
100	11	92	8.363636363636363	8	3	0
102	7	37	5.285714285714286	6	1	0
104	2	4	2.0	1	1	0
105	7	47	6.714285714285714	5	1	1
106	4	9	2.25	2	1	0
108	3	3	1.0	2	0	0
110	1	0	0.0	0	0	0
111	1	1	1.0	0	0	1
112	7	58	8.285714285714286	3	2	0
113	4	10	2.5	4	0	0
115	3	18	6.0	1	2	0
116	5	24	4.8	3	2	0
117	1	19	19.0	0	1	0
119	3	9	3.0	1	1	1
120	2	5	2.5	1	1	0
121	4	52	13.0	0	4	0
122	9	41	4.555555555555555	8	1	0
124	1	5	5.0	0	1	0
125	3	9	3.0	2	1	0
126	1	1	1.0	0	0	1
127	4	18	4.5	2	2	0
129	17	153	9.0	17	0	0
130	1	5	5.0	0	1	0
131	10	132	13.2	7	2	1
133	65	322	4.953846153846154	65	0	0
134	7	56	8.0	2	3	1
135	1	2	2.0	0	1	0
136	2	3	1.5	1	0	1
138	1	8	8.0	0	1	0
139	9	67	7.444444444444445	5	4	0
140	3	28	9.333333333333334	1	2	0
141	1	2	2.0	0	1	0
142	11	125	11.363636363636363	5	4	2
144	4	5	1.25	4	0	0
146	2	58	29.0	0	2	0
147	1	5	5.0	0	1	0
149	6	103	17.166666666666668	0	4	2
150	5	53	10.6	2	3	0
151	3	94	31.333333333333332	1	2	0
154	2	1	0.5	1	0	0
155	4	7	1.75	2	0	1
159	2	15	7.5	0	2	0
160	3	10	3.3333333333333335	1	2	0
161	3	7	2.3333333333333335	1	0	2
162	11	126	11.454545454545455	5	6	0
163	2	4	2.0	0	0	2
164	10	57	5.7	9	1	0
166	4	40	10.0	0	3	1
168	1	3	3.0	0	1	0
169	3	13	4.333333333333333	1	1	1
171	5	25	5.0	2	2	1
172	6	14	2.3333333333333335	4	0	1
173	2	1	0.5	1	0	0
174	3	13	4.333333333333333	0	2	0
175	6	50	8.333333333333334	3	3	0
176	1	4	4.0	0	1	0
177	5	27	5.4	2	3	0
178	3	14	4.666666666666667	2	1	0
179	11	44	4.0	9	0	0
180	14	146	10.428571428571429	10	3	0
181	6	51	8.5	1	4	1
182	5	65	13.0	1	3	1
183	3	29	9.666666666666666	0	3	0
185	2	3	1.5	1	0	1
186	3	32	10.666666666666666	0	3	0
187	1	2	2.0	0	1	0
188	1	4	4.0	0	1	0
189	4	8	2.0	0	1	0
190	3	31	10.333333333333334	0	1	1
191	3	2	0.6666666666666666	1	0	0
192	3	8	2.6666666666666665	0	1	1
193	3	11	3.6666666666666665	1	2	0
194	2	6	3.0	1	1	0
195	2	5	2.5	0	1	1
196	11	117	10.636363636363637	6	4	1
197	1	5	5.0	0	1	0
198	3	29	9.666666666666666	0	3	0
200	10	39	3.9	8	1	0
201	3	21	7.0	0	3	0
202	8	50	6.25	4	1	3
203	1	0	0.0	0	0	0
204	1	1	1.0	0	0	1
208	1	0	0.0	0	0	0
209	2	5	2.5	0	1	1
210	5	18	3.6	3	1	1
211	3	7	2.3333333333333335	2	1	0
212	1	4	4.0	0	1	0
213	8	33	4.125	6	1	0
215	2	2	1.0	0	0	1
217	3	15	5.0	0	1	1
218	4	16	4.0	1	2	0
219	9	83	9.222222222222221	3	4	2
222	2	35	17.5	0	2	0
223	6	29	4.833333333333333	4	2	0
224	2	10	5.0	0	1	0
225	1	1	1.0	0	0	1
226	4	16	4.0	2	2	0
227	1	1	1.0	0	0	1
228	2	4	2.0	0	0	2
229	17	172	10.117647058823529	15	1	1
230	4	17	4.25	1	2	1
231	2	3	1.5	1	0	1
232	5	77	15.4	0	4	0
233	7	139	19.857142857142858	1	6	0
234	5	80	16.0	1	4	0
236	2	6	3.0	0	2	0
237	1	0	0.0	0	0	0
239	11	84	7.636363636363637	7	3	1
240	2	23	11.5	0	2	0
241	7	53	7.571428571428571	2	1	1
243	7	62	8.857142857142858	4	3	0
244	6	59	9.833333333333334	3	3	0
245	9	97	10.777777777777779	5	4	0
246	1	5	5.0	0	1	0
247	7	81	11.571428571428571	1	6	0
248	2	7	3.5	0	1	0
249	11	63	5.7272727272727275	11	0	0
250	1	12	12.0	0	1	0
251	19	146	7.684210526315789	19	0	0
252	4	10	2.5	3	0	1
253	4	18	4.5	2	2	0
254	2	9	4.5	0	1	1
255	16	168	10.5	13	3	0
256	2	1	0.5	1	0	0
257	8	27	3.375	7	0	0
259	5	41	8.2	2	3	0
260	3	81	27.0	0	3	0
261	2	3	1.5	1	0	1
263	1	5	5.0	0	1	0
264	2	4	2.0	1	1	0
265	3	17	5.666666666666667	0	3	0
267	4	8	2.0	2	1	0
268	2	6	3.0	1	1	0
269	6	116	19.333333333333332	1	4	1
270	2	5	2.5	0	1	1
271	5	11	2.2	3	1	0
272	2	1	0.5	1	0	0
273	12	135	11.25	8	4	0
274	4	13	3.25	3	1	0
275	2	22	11.0	1	1	0
276	5	14	2.8	2	1	0
277	1	0	0.0	0	0	0
278	16	140	8.75	14	2	0
279	3	24	8.0	0	2	0
280	18	124	6.888888888888889	16	2	0
281	8	39	4.875	6	1	0
282	4	20	5.0	2	2	0
284	7	32	4.571428571428571	4	1	0
285	2	17	8.5	1	1	0
286	3	4	1.3333333333333333	2	0	0
289	1	7	7.0	0	1	0
292	10	51	5.1	7	2	0
293	1	8	8.0	0	1	0
294	6	33	5.5	3	3	0
296	5	31	6.2	2	2	1
298	23	426	18.52173913043478	19	4	0
300	16	123	7.6875	15	1	0
301	7	64	9.142857142857142	1	5	0
304	1	1	1.0	0	0	1
305	12	75	6.25	11	1	0
306	2	17	8.5	0	2	0
307	1	8	8.0	0	1	0
308	1	3	3.0	0	1	0
309	5	23	4.6	2	1	2
311	4	66	16.5	0	4	0
312	3	17	5.666666666666667	1	1	1
313	4	22	5.5	0	2	2
314	8	55	6.875	4	2	1
315	3	10	3.3333333333333335	1	1	1
316	2	19	9.5	0	2	0
317	9	43	4.777777777777778	8	1	0
318	2	28	14.0	0	1	0
319	4	9	2.25	3	1	0
321	2	11	5.5	0	1	1
322	3	20	6.666666666666667	0	2	0
323	3	70	23.333333333333332	0	3	0
324	1	8	8.0	0	1	0
325	17	290	17.058823529411764	7	8	0
326	7	130	18.571428571428573	0	7	0
328	1	0	0.0	0	0	0
329	20	264	13.2	17	3	0
330	2	29	14.5	0	1	1
331	1	6	6.0	0	1	0
333	1	36	36.0	0	1	0
334	2	3	1.5	1	0	1
335	1	2	2.0	0	1	0
336	6	56	9.333333333333334	0	5	1
337	8	72	9.0	3	3	2
338	7	127	18.142857142857142	3	3	1
339	2	28	14.0	0	2	0
340	3	33	11.0	1	2	0
341	6	31	5.166666666666667	4	2	0
343	6	16	2.6666666666666665	5	1	0
344	8	88	11.0	3	5	0
345	2	24	12.0	0	2	0
346	1	2	2.0	0	1	0
347	3	19	6.333333333333333	0	1	2
349	40	1592	39.8	20	20	0
350	12	73	6.083333333333333	10	1	0
351	1	1	1.0	0	0	1
352	1	1	1.0	0	0	1
353	1	1	1.0	0	0	1
354	10	177	17.7	5	5	0
355	1	0	0.0	0	0	0
357	7	30	4.285714285714286	5	1	1
360	3	9	3.0	1	1	0
361	43	813	18.906976744186046	42	1	0
